resume_text,job_description,match_score,match_label
"Python developer with 8 years of experience building backend applications using REST APIs, Docker, Django, FastAPI. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","We need a Frontend Developer experienced with React, HTML, Git, TypeScript, REST APIs. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.44,Medium
"UI/UX Designer with 3 years of experience in wireframing, Figma, user research, prototyping, responsive design. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Seeking a Business Analyst with experience in Excel, SQL, process analysis, Power BI, documentation. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.41,medium
"Business Analyst with 9 years of experience in Power BI, requirements gathering, process analysis, Excel, stakeholder management, SQL. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a Business Analyst with experience in SQL, Excel, stakeholder management, process analysis, documentation, Power BI, requirements gathering. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders.",0.95,HIGH
"Backend Developer with 9 years of experience building server-side applications using PostgreSQL, Docker, SQL, Node.js. Designed APIs, optimized databases, and delivered reliable services.","Hiring a Java Developer with experience in SQL, Hibernate, Docker, Java, Git. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.66,Medium
"Machine Learning Engineer with 3 years of experience working with Machine Learning, AWS, Python, Docker. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Seeking a Cloud Engineer experienced in Linux, Docker, AWS, cloud architecture. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.34,LOW
"Python developer with 2 years of experience building backend applications using Django, Git, Python, REST APIs, Docker. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","Seeking a Cloud Engineer experienced in Terraform, cloud architecture, AWS. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.44,Medium
"DevOps Engineer with 5 years of experience using Git, AWS, Terraform, CI/CD, Kubernetes, Linux, Docker. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Seeking a DevOps Engineer skilled in Terraform, Kubernetes, CI/CD, Docker, Git, Linux, AWS. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",99.0,High
"Frontend Developer with 2 years of experience creating responsive web applications using TypeScript, React, REST APIs, CSS, JavaScript, Git, HTML. Focused on reusable components, performance, accessibility, and user experience.","We need a Frontend Developer experienced with REST APIs, React, CSS, HTML, Git. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers.",0.78,High
"DevOps Engineer with 4 years of experience using AWS, Terraform, Docker. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","We are hiring a Python Developer with experience in Docker, PostgreSQL, FastAPI. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.34,Low
"Backend Developer with 3 years of experience building server-side applications using Git, REST APIs, SQL, PostgreSQL. Designed APIs, optimized databases, and delivered reliable services.","Seeking a DevOps Engineer skilled in CI/CD, Git, Kubernetes, Docker, Terraform. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.61,Medium
"Business Analyst with 2 years of experience in Excel, Power BI, requirements gathering. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a Machine Learning Engineer with strong experience in Docker, TensorFlow, AWS, PyTorch, Machine Learning. You will build, train, deploy, and maintain production machine learning systems.",0.3,low
"Business Analyst with 6 years of experience in process analysis, stakeholder management, Power BI, documentation, SQL, requirements gathering, Excel. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a Business Analyst with experience in Power BI, requirements gathering, process analysis, stakeholder management, documentation, Excel, SQL. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders.",0.87,High
